INSERT INTO Gioco(ID_Gioco, CF_Giocatore, Importo, Vincita , Data_Giocata ,Numero_Scommesso, Colore_Scommesso  ) VALUES 
( "EMB7SMHBOM" ,  TLNYEGIAXYAA8UGJ ,  " " ),
( "Moonlit Magic" ,  "Park Güell Street" ,  "Canadese" ,  "1962/12/10" ,  "33IOT26AZS"),
( "Lucky Charm" ,  "Opera House Avenue" ,  "Portoghese" ,  "1966/12/15" ,  "SPBDXM0JMU"),
( "Jade Palace" ,  "Baker Street" ,  "Messicana" ,  "1979/10/25" ,  "KLPIFM7MBC"),
( "Crystal Cove" ,  "Hofburggasse" ,  "Canadese" ,  "1998/06/08" ,  "SU325WP2YR"),
( "Emerald Star" ,  "Vatican Square" ,  "Brasiliana" ,  "1966/12/15" ,  "3L64E9SCIX");



INSERT INTO Scomessa(ID_Scommessa, Quota, Data_Apertura, Data_Chiusura, Casino) VALUES 
( "GZ3IIMEY2O" ,  8.41 ,  "2016/01/01" ,  "2016/01/04" ,  "Emerald Casino"),
( "L0C4TGZ2H3" ,  11.17 ,  "1993/12/25" ,  "1993/12/28" ,  "Sunset Plaza"),
( "F2X5FRTD8R" ,  18.0 ,  "2022/05/08" ,  "2022/05/11" ,  "Starshine"),
( "RXHHE1WZHC" ,  9.85 ,  "2012/09/15" ,  "2012/09/18" ,  "Pearl Bay"),
( "Z4ZEZZQYG6" ,  14.95 ,  "1992/08/10" ,  "1992/08/13" ,  "Mystic Mirage"),
( "FRFB2FTI2P" ,  11.83 ,  "1990/10/07" ,  "1990/10/10" ,  "Sunrise Casino"),
( "VEP4G04U4N" ,  17.07 ,  "1993/10/22" ,  "1993/10/25" ,  "Crystal Casino"),
( "SBFRUGWUTJ" ,  1.28 ,  "1999/06/28" ,  "1999/07/01" ,  "Sunset Strip"),
( "1CXFX1AGG6" ,  15.0 ,  "1993/07/07" ,  "1993/07/10" ,  "Diamond Edge"),
( "4GLVLYX6LB" ,  16.85 ,  "2003/08/24" ,  "2003/08/27" ,  "Jade Palace"),
( "L74BSNXBJN" ,  4.11 ,  "1992/09/18" ,  "1992/09/21" ,  "Crystal Cove"),
( "P6EZB6HY6V" ,  6.31 ,  "2008/03/13" ,  "2008/03/16" ,  "Lucky Clover"),
( "BXLSKIO96L" ,  17.36 ,  "2003/11/27" ,  "2003/11/30" ,  "Emerald Casino"),
( "UT0NIINAZT" ,  0.71 ,  "1991/03/26" ,  "1991/03/29" ,  "Diamond Edge"),
( "L5XFFWDO1Y" ,  18.79 ,  "2020/08/25" ,  "2020/08/28" ,  "Jade Palace"),
( "SCCCRRWPQF" ,  1.3 ,  "1999/01/03" ,  "1999/01/06" ,  "Vegas Lights"),
( "9Y41JQQEM1" ,  19.63 ,  "2003/06/21" ,  "2003/06/24" ,  "Dreamland Casino"),
( "HVFNUG749M" ,  1.13 ,  "1998/02/21" ,  "1998/02/24" ,  "Dreamland Casino"),
( "Q2REP421GQ" ,  14.09 ,  "2015/02/18" ,  "2015/02/21" ,  "Diamond Edge"),
( "EC2BQXP2IM" ,  2.99 ,  "1997/10/04" ,  "1997/10/07" ,  "Emerald Star"),
( "HO84FHY8GJ" ,  2.51 ,  "2022/12/01" ,  "2022/12/04" ,  "Silver Stream"),
( "NTAEHJDKJ6" ,  18.18 ,  "2014/06/25" ,  "2014/06/28" ,  "Skyline Gaming"),
( "AIQYLIZBWN" ,  7.1 ,  "2005/09/02" ,  "2005/09/05" ,  "Royal Dice"),
( "7UO680GM79" ,  17.61 ,  "2003/11/10" ,  "2003/11/13" ,  "Silver Stream"),
( "AKKI0MHRMR" ,  5.83 ,  "2011/05/10" ,  "2011/05/13" ,  "Golden Palace"),
( "NI4OAPDTI9" ,  3.48 ,  "1999/03/11" ,  "1999/03/14" ,  "Sunrise Casino"),
( "19DQJ8AFY9" ,  2.18 ,  "2016/09/21" ,  "2016/09/24" ,  "Jade Palace"),
( "8IVCR1HQG6" ,  14.56 ,  "2019/09/01" ,  "2019/09/04" ,  "Lucky Charm"),
( "8CJAN6OFQA" ,  14.36 ,  "2003/11/24" ,  "2003/11/27" ,  "Dreamland Casino"),
( "1G28R3JKN8" ,  14.85 ,  "1995/12/22" ,  "1995/12/25" ,  "Lucky Star"),
( "APDIF0Y14N" ,  5.45 ,  "2005/09/01" ,  "2005/09/04" ,  "Mystic Mirage"),
( "0A1K3LLP9P" ,  5.29 ,  "2009/04/10" ,  "2009/04/13" ,  "Crystal Casino"),
( "2KJY50MYB4" ,  17.0 ,  "2017/05/19" ,  "2017/05/22" ,  "Treasure Cove"),
( "EEENB0JBLD" ,  15.01 ,  "2007/12/27" ,  "2007/12/30" ,  "Crystal Casino"),
( "VVN341OO32" ,  15.85 ,  "2021/12/02" ,  "2021/12/05" ,  "Golden Arrow"),
( "JXK4SI4ZLU" ,  2.35 ,  "2004/11/15" ,  "2004/11/18" ,  "Crystal Cove"),
( "WHYN0KSWXR" ,  0.59 ,  "2008/03/27" ,  "2008/03/30" ,  "Desert Oasis"),
( "87MCQWM1SF" ,  16.63 ,  "2008/06/04" ,  "2008/06/07" ,  "Sunset Strip"),
( "C178W7PDKN" ,  19.1 ,  "2012/05/26" ,  "2012/05/29" ,  "Golden Palace"),
( "TZ5L621WGS" ,  6.3 ,  "2016/04/07" ,  "2016/04/10" ,  "Azure Sands"),
( "79M9BHJIRM" ,  9.29 ,  "2015/02/09" ,  "2015/02/12" ,  "Mystic Oasis"),
( "QB55GJC3KH" ,  5.51 ,  "1999/07/17" ,  "1999/07/20" ,  "Neon Nights"),
( "2WLIVPSFK7" ,  19.51 ,  "2014/03/17" ,  "2014/03/20" ,  "Emerald Star"),
( "N4TKEFRYMX" ,  14.76 ,  "2020/03/04" ,  "2020/03/07" ,  "Crystal Cove"),
( "G4XKYD6AC8" ,  1.51 ,  "1990/06/15" ,  "1990/06/18" ,  "Vegas Lights"),
( "UQDJOM1NMP" ,  11.61 ,  "1997/04/17" ,  "1997/04/20" ,  "Dreamland Casino"),
( "IZJ6GFQGHV" ,  14.53 ,  "1993/01/15" ,  "1993/01/18" ,  "Ruby Ridge"),
( "N1RGC1HEXL" ,  12.59 ,  "2001/03/18" ,  "2001/03/21" ,  "Golden Palace"),
( "CANA59CRIU" ,  0.82 ,  "1999/10/04" ,  "1999/10/07" ,  "Wild West"),
( "RXOIU5KG0H" ,  12.35 ,  "2018/04/02" ,  "2018/04/05" ,  "Fortune Plaza"),
( "3H0MMEVD5L" ,  17.14 ,  "2000/11/09" ,  "2000/11/12" ,  "Lucky Star"),
( "5XB5MJ26NX" ,  12.32 ,  "2010/10/19" ,  "2010/10/22" ,  "Vegas Mirage"),
( "GS07YBVMNN" ,  1.05 ,  "1995/06/03" ,  "1995/06/06" ,  "Vegas Lights"),
( "2JZRD0BQPB" ,  1.32 ,  "2005/10/10" ,  "2005/10/13" ,  "Ruby Ridge"),
( "FIC5WEKAB4" ,  14.22 ,  "1999/07/09" ,  "1999/07/12" ,  "Diamond Edge"),
( "LS8HT650SS" ,  1.4 ,  "2014/09/09" ,  "2014/09/12" ,  "Blue Horizon"),
( "UM20IUMPWY" ,  4.69 ,  "2021/06/05" ,  "2021/06/08" ,  "Fortune Plaza"),
( "0CD7BNEC8N" ,  0.85 ,  "1992/11/28" ,  "1992/12/01" ,  "Starshine"),
( "9HDLO2FZR0" ,  1.66 ,  "2002/10/15" ,  "2002/10/18" ,  "Emerald Star"),
( "3GKND5UT8D" ,  7.71 ,  "2017/10/14" ,  "2017/10/17" ,  "Royal Dice"),
( "UJAHU6LFRO" ,  5.98 ,  "1997/06/27" ,  "1997/06/30" ,  "Lucky Charm"),
( "TMYL03L69E" ,  3.43 ,  "2003/12/07" ,  "2003/12/10" ,  "Mystic Mirage"),
( "11BW8J55QL" ,  10.56 ,  "2011/03/17" ,  "2011/03/20" ,  "Fortune Plaza"),
( "BRIPDS391K" ,  1.16 ,  "2014/07/19" ,  "2014/07/22" ,  "Starshine"),
( "II3NLIZ1GH" ,  17.42 ,  "1993/09/23" ,  "1993/09/26" ,  "Vegas Lights"),
( "R95HOH9B20" ,  17.54 ,  "2011/02/13" ,  "2011/02/16" ,  "Crystal Casino"),
( "OMX1ZIKN60" ,  1.48 ,  "1994/07/18" ,  "1994/07/21" ,  "Mystic Oasis"),
( "JKQX7GDGN8" ,  16.08 ,  "1996/02/11" ,  "1996/02/14" ,  "Sunset Sands"),
( "VBY3NXWITO" ,  17.63 ,  "2013/05/19" ,  "2013/05/22" ,  "Moonlit Magic"),
( "WNE3QVFFX7" ,  15.56 ,  "2017/04/24" ,  "2017/04/27" ,  "Neon Dreams"),
( "VKZ1GY6AU3" ,  15.42 ,  "2020/04/13" ,  "2020/04/16" ,  "Crystal Cove"),
( "8Y455SUYYI" ,  15.49 ,  "2010/09/04" ,  "2010/09/07" ,  "Diamond Edge"),
( "GOUEJICDE3" ,  2.65 ,  "2014/08/05" ,  "2014/08/08" ,  "Moonlit Cove"),
( "A1PTZIGNQQ" ,  17.64 ,  "1995/11/20" ,  "1995/11/23" ,  "Neon Dreams"),
( "Y18PAKAX1W" ,  12.93 ,  "2011/08/19" ,  "2011/08/22" ,  "Ocean Jewel"),
( "CDYA2600P2" ,  3.45 ,  "1995/08/23" ,  "1995/08/26" ,  "Golden Arrow"),
( "KNG6IFX3Q1" ,  11.96 ,  "2012/03/24" ,  "2012/03/27" ,  "Sunset Sands"),
( "YSE6MAKBFY" ,  2.5 ,  "2008/01/27" ,  "2008/01/30" ,  "Vegas Lights"),
( "SIN3LH1SYO" ,  8.13 ,  "2009/02/27" ,  "2009/03/02" ,  "Royal Flush"),
( "20PQR7GCF0" ,  9.78 ,  "2017/06/20" ,  "2017/06/23" ,  "Sunset Sands"),
( "58B9N8FZ10" ,  14.83 ,  "1992/09/26" ,  "1992/09/29" ,  "Moonlit Magic"),
( "T164DYYO6E" ,  19.43 ,  "2000/03/21" ,  "2000/03/24" ,  "Dreamland Casino"),
( "7J1G3K4G3B" ,  7.51 ,  "2018/11/08" ,  "2018/11/11" ,  "Starshine"),
( "Y9YJ1Q87F6" ,  6.03 ,  "1996/09/21" ,  "1996/09/24" ,  "Silver Stream"),
( "W7ZSSIUYEG" ,  14.16 ,  "1994/02/01" ,  "1994/02/04" ,  "Sunset Strip"),
( "LETTR57EOI" ,  9.23 ,  "2015/04/03" ,  "2015/04/06" ,  "Sunrise Casino"),
( "ZEC8AN05RO" ,  11.78 ,  "1995/03/28" ,  "1995/03/31" ,  "Pearl Bay"),
( "IO5GBMQMJK" ,  13.16 ,  "2019/07/15" ,  "2019/07/18" ,  "Azure Sands"),
( "U4DG11JOO2" ,  7.73 ,  "1994/11/05" ,  "1994/11/08" ,  "Golden Gate"),
( "A509DC8G0W" ,  8.89 ,  "2017/03/11" ,  "2017/03/14" ,  "Crown Jewel"),
( "HJ1RBJRIJ1" ,  15.47 ,  "1997/09/27" ,  "1997/09/30" ,  "Vegas Lights"),
( "2M1KTVHQX8" ,  17.56 ,  "1990/08/16" ,  "1990/08/19" ,  "Dreamland Casino"),
( "OLXCNPK3EW" ,  17.59 ,  "2021/03/20" ,  "2021/03/23" ,  "Silver Stream"),
( "DU16ECNDVF" ,  11.83 ,  "1991/08/25" ,  "1991/08/28" ,  "Red Lantern"),
( "6Y2ATI70K3" ,  17.88 ,  "2021/01/02" ,  "2021/01/05" ,  "Royal Dice"),
( "F8TEJUZXOS" ,  2.42 ,  "1990/02/23" ,  "1990/02/26" ,  "Emerald Casino"),
( "U9GAI5JAY1" ,  5.99 ,  "2000/05/23" ,  "2000/05/26" ,  "Crystal Casino"),
( "ZA5KU77LAN" ,  7.81 ,  "2017/01/10" ,  "2017/01/13" ,  "Jade Palace"),
( "AWDIG20PTY" ,  7.47 ,  "1991/05/15" ,  "1991/05/18" ,  "Treasure Island"),
( "XJAH19U2EL" ,  12.92 ,  "1992/03/07" ,  "1992/03/10" ,  "Diamond Edge"),
( "1YH40VFN7V" ,  14.83 ,  "2009/02/19" ,  "2009/02/22" ,  "Emerald Isle"),
( "TXKLCP68WO" ,  2.24 ,  "2006/04/14" ,  "2006/04/17" ,  "Lucky Star"),
( "WYQ2VIERLC" ,  13.96 ,  "2022/06/27" ,  "2022/06/30" ,  "Palm Grove"),
( "KW2EQKMLBU" ,  14.93 ,  "1992/07/03" ,  "1992/07/06" ,  "Golden Palace"),
( "XVTLBH46WS" ,  8.3 ,  "1999/02/02" ,  "1999/02/05" ,  "Blue Horizon"),
( "AYMA9WDZQ0" ,  10.7 ,  "2022/07/20" ,  "2022/07/23" ,  "Emerald Isle"),
( "9YVJMKQIR6" ,  2.15 ,  "2001/08/04" ,  "2001/08/07" ,  "Treasure Island"),
( "TIIZYQV9WV" ,  1.72 ,  "2004/01/21" ,  "2004/01/24" ,  "Emerald Star"),
( "KZXG7B97XU" ,  18.86 ,  "2021/01/08" ,  "2021/01/11" ,  "Sunset Plaza"),
( "FS0MTBXMA0" ,  18.11 ,  "2013/04/21" ,  "2013/04/24" ,  "Blue Horizon"),
( "R5XXYOCWMQ" ,  12.54 ,  "1991/03/03" ,  "1991/03/06" ,  "Sunset Sands"),
( "PG1XWB7PLP" ,  9.78 ,  "2022/01/18" ,  "2022/01/21" ,  "Treasure Island"),
( "HLGUUF6H6X" ,  5.24 ,  "2020/12/18" ,  "2020/12/21" ,  "Emerald Casino"),
( "TAP14MP2WA" ,  2.67 ,  "1993/02/14" ,  "1993/02/17" ,  "Starshine"),
( "6E5HKBK4LY" ,  9.32 ,  "2007/06/26" ,  "2007/06/29" ,  "Moonlit Magic"),
( "2KYQ0H36F8" ,  17.57 ,  "2005/09/20" ,  "2005/09/23" ,  "Crimson Casino"),
( "QZQGHIM1C6" ,  11.86 ,  "2020/12/23" ,  "2020/12/26" ,  "Dreamland Casino"),
( "6FU0H6ISRS" ,  3.93 ,  "1999/07/13" ,  "1999/07/16" ,  "Emerald Casino"),
( "IA1OINH41K" ,  4.44 ,  "2003/10/03" ,  "2003/10/06" ,  "Desert Oasis"),
( "N36BDAG3XK" ,  16.07 ,  "1994/01/25" ,  "1994/01/28" ,  "Crystal Peak"),
( "UO7TKVYNEZ" ,  6.0 ,  "1997/06/14" ,  "1997/06/17" ,  "Red Lantern"),
( "NZDV9A7A3X" ,  9.29 ,  "1993/12/01" ,  "1993/12/04" ,  "Azure Sands"),
( "YO7GMAZW00" ,  18.42 ,  "2018/07/03" ,  "2018/07/06" ,  "Starlight Casino"),
( "NFH8K3C4BM" ,  18.62 ,  "2004/06/11" ,  "2004/06/14" ,  "Crimson Casino"),
( "H922HPOW86" ,  7.99 ,  "2010/09/01" ,  "2010/09/04" ,  "Skyline Gaming"),
( "QCQKS6ZDLN" ,  3.65 ,  "2022/02/16" ,  "2022/02/19" ,  "Neon Nights"),
( "Z3Q6YMOHHV" ,  11.24 ,  "1994/08/16" ,  "1994/08/19" ,  "Emerald Isle"),
( "1XNRI0F54C" ,  19.92 ,  "2006/12/01" ,  "2006/12/04" ,  "Treasure Island"),
( "LK8ZL1XGS6" ,  1.42 ,  "1995/02/19" ,  "1995/02/22" ,  "Neon Nights"),
( "SNC09CR9YK" ,  12.94 ,  "1998/12/23" ,  "1998/12/26" ,  "Golden Arrow"),
( "R06RDIX16O" ,  5.51 ,  "2001/07/21" ,  "2001/07/24" ,  "Palm Grove"),
( "4C1UA7T0JP" ,  15.81 ,  "1993/07/19" ,  "1993/07/22" ,  "Desert Oasis"),
( "U9SMTBMKWW" ,  3.77 ,  "2021/02/24" ,  "2021/02/27" ,  "Jade Palace"),
( "2UH1LT5MTW" ,  10.9 ,  "1990/02/27" ,  "1990/03/02" ,  "Jade Palace"),
( "XHIX6YE0NJ" ,  6.46 ,  "1991/10/08" ,  "1991/10/11" ,  "Pearl Bay"),
( "VZQ0Q6U1IB" ,  19.51 ,  "2010/05/19" ,  "2010/05/22" ,  "Sunset Sands"),
( "38SRTPAAT9" ,  9.94 ,  "2008/06/11" ,  "2008/06/14" ,  "Royal Dice"),
( "5RRLRP4RSW" ,  1.85 ,  "1993/07/21" ,  "1993/07/24" ,  "Royal Flush"),
( "A8RHZE923D" ,  7.42 ,  "2003/07/06" ,  "2003/07/09" ,  "Azure Sands"),
( "O261ZHNL4P" ,  3.35 ,  "2001/12/04" ,  "2001/12/07" ,  "Lucky Clover"),
( "00ID5PTQQT" ,  11.49 ,  "1997/04/24" ,  "1997/04/27" ,  "Sunset Strip"),
( "W4EQE9MX9O" ,  4.83 ,  "1996/06/09" ,  "1996/06/12" ,  "Rainbow Resort"),
( "DEY6G953N3" ,  11.11 ,  "1997/06/07" ,  "1997/06/10" ,  "Dreamland Casino"),
( "6EME7ALZFC" ,  3.98 ,  "2021/04/27" ,  "2021/04/30" ,  "Lucky Charm"),
( "9TOIILV1YS" ,  2.12 ,  "1994/11/16" ,  "1994/11/19" ,  "Neon Nights"),
( "U7NU42M4G7" ,  9.62 ,  "1994/11/18" ,  "1994/11/21" ,  "Sunset Plaza"),
( "B9H49FMRV2" ,  11.39 ,  "1996/03/13" ,  "1996/03/16" ,  "Desert Oasis"),
( "8XK1T16U0C" ,  8.37 ,  "1996/06/20" ,  "1996/06/23" ,  "Royal Flush"),
( "AM56PEZLLX" ,  14.72 ,  "2006/10/10" ,  "2006/10/13" ,  "Ocean Jewel"),
( "PWNYJG8299" ,  2.3 ,  "1996/05/04" ,  "1996/05/07" ,  "Lucky Spin Casino"),
( "8QPJFTVGD2" ,  17.44 ,  "1992/07/25" ,  "1992/07/28" ,  "Blue Horizon"),
( "W7MKI9AOW9" ,  9.19 ,  "2017/06/10" ,  "2017/06/13" ,  "Mystic Oasis"),
( "TIWFLH7KE1" ,  5.84 ,  "2006/04/26" ,  "2006/04/29" ,  "Skyline Gaming"),
( "V21SY8Y3OV" ,  13.02 ,  "2014/04/18" ,  "2014/04/21" ,  "Royal Dice"),
( "TAW6LP3WB5" ,  1.07 ,  "1998/08/28" ,  "1998/08/31" ,  "Treasure Island"),
( "ZJGZWUSENJ" ,  1.84 ,  "2001/08/28" ,  "2001/08/31" ,  "Sunset Plaza"),
( "8EEFPJ9BF7" ,  5.15 ,  "1997/04/13" ,  "1997/04/16" ,  "Lucky Charm"),
( "MKTK7R2YCJ" ,  18.0 ,  "2001/05/08" ,  "2001/05/11" ,  "Red Lantern"),
( "O83ANGD01B" ,  12.38 ,  "1991/12/26" ,  "1991/12/29" ,  "Sunrise Casino"),
( "LGJQ0TR0KW" ,  7.32 ,  "2015/02/19" ,  "2015/02/22" ,  "Emerald Isle"),
( "8UJHGXZS5G" ,  4.51 ,  "2011/09/08" ,  "2011/09/11" ,  "Sapphire Sky"),
( "8YRVD1VZNY" ,  6.06 ,  "1992/02/12" ,  "1992/02/15" ,  "Starlight Casino"),
( "Q5JUKTDSC0" ,  11.51 ,  "1999/08/07" ,  "1999/08/10" ,  "Lucky Spin Casino"),
( "2E79O7KQ98" ,  15.44 ,  "1990/05/26" ,  "1990/05/29" ,  "Mystic Oasis"),
( "P9WLOU4J49" ,  9.83 ,  "2019/01/05" ,  "2019/01/08" ,  "Dreamland Casino"),
( "PZQLEXGUUF" ,  5.89 ,  "2018/11/28" ,  "2018/12/01" ,  "Sunset Sands"),
( "GQTQMTVHAP" ,  8.63 ,  "2016/02/10" ,  "2016/02/13" ,  "Vegas Lights"),
( "HC8SESLPMP" ,  16.09 ,  "1995/04/12" ,  "1995/04/15" ,  "Mystic Mirage"),
( "5EZVDSQ2F8" ,  1.95 ,  "1998/04/15" ,  "1998/04/18" ,  "Golden Arrow"),
( "IZNDJ8ES2K" ,  6.21 ,  "1991/10/07" ,  "1991/10/10" ,  "Emerald Casino"),
( "XMMM7PYLSG" ,  13.4 ,  "2008/05/18" ,  "2008/05/21" ,  "Crystal Casino"),
( "OTOPHQC0A5" ,  3.26 ,  "2007/09/09" ,  "2007/09/12" ,  "Sunrise Casino"),
( "YQGAKYOV42" ,  18.43 ,  "2008/09/28" ,  "2008/10/01" ,  "Golden Arrow"),
( "XDTI0LBMRW" ,  18.17 ,  "2013/03/14" ,  "2013/03/17" ,  "Sapphire Sky"),
( "YZOY1JUX44" ,  6.67 ,  "1992/01/12" ,  "1992/01/15" ,  "Sunset Sands"),
( "FFVBLYZ5ML" ,  17.15 ,  "2015/03/03" ,  "2015/03/06" ,  "Golden Arrow"),
( "IJ9FETYJC5" ,  11.44 ,  "2004/01/08" ,  "2004/01/11" ,  "Emerald Casino"),
( "7OZ0WTS3RY" ,  2.29 ,  "2006/12/18" ,  "2006/12/21" ,  "Sunset Strip"),
( "BHH7MC9MYR" ,  15.62 ,  "2018/05/16" ,  "2018/05/19" ,  "Azure Sands"),
( "MOT4MJZFMP" ,  8.05 ,  "2011/02/25" ,  "2011/02/28" ,  "Sunset Strip"),
( "EDP5OY60P1" ,  19.66 ,  "2018/08/18" ,  "2018/08/21" ,  "Royal Dice"),
( "0HRFG7H20S" ,  7.92 ,  "2014/08/06" ,  "2014/08/09" ,  "Sapphire Sky"),
( "G2SRDTUHG1" ,  14.23 ,  "2019/11/14" ,  "2019/11/17" ,  "Golden Palace"),
( "YVMM6NTYAE" ,  4.42 ,  "2020/02/15" ,  "2020/02/18" ,  "Neon Nights"),
( "03PWBWWANA" ,  16.77 ,  "2009/01/15" ,  "2009/01/18" ,  "Skyline Gaming"),
( "YDUAXDBS2Z" ,  9.46 ,  "2016/10/03" ,  "2016/10/06" ,  "Ruby Ridge"),
( "MY0EL1SWIF" ,  12.71 ,  "2005/08/14" ,  "2005/08/17" ,  "Sapphire Sky"),
( "ZVAWR73AAY" ,  8.09 ,  "1999/05/26" ,  "1999/05/29" ,  "Azure Sands"),
( "OYT0BW3CYI" ,  10.49 ,  "2011/10/16" ,  "2011/10/19" ,  "Sunset Sands"),
( "52SRISQ8RK" ,  14.59 ,  "1998/03/24" ,  "1998/03/27" ,  "Dreamland Casino"),
( "7866F40HZN" ,  14.86 ,  "1999/01/06" ,  "1999/01/09" ,  "Lucky Spin Casino"),
( "Y9YWDYB6NE" ,  12.58 ,  "2020/12/21" ,  "2020/12/24" ,  "Golden Gate"),
( "QWMOYJW77S" ,  17.86 ,  "2006/04/05" ,  "2006/04/08" ,  "Palm Grove"),
( "Y1DI6XH70J" ,  4.89 ,  "2002/08/05" ,  "2002/08/08" ,  "Moonlit Cove"),
( "MYFKCQL3O8" ,  12.96 ,  "2015/04/14" ,  "2015/04/17" ,  "Moonlit Magic"),
( "HR8KR902QD" ,  15.68 ,  "2010/09/14" ,  "2010/09/17" ,  "Starlight Casino"),
( "RVWSTLNHT0" ,  9.68 ,  "2018/09/09" ,  "2018/09/12" ,  "Ocean Jewel"),
( "QGTOOKBRHB" ,  14.87 ,  "1994/11/25" ,  "1994/11/28" ,  "Sapphire Sky"),
( "5E7EMMCNXB" ,  1.6 ,  "2012/06/22" ,  "2012/06/25" ,  "Vegas Lights"),
( "TH2J59V7FU" ,  2.45 ,  "2008/03/09" ,  "2008/03/12" ,  "Desert Oasis"),
( "Y7QLTS5E6U" ,  16.82 ,  "2007/12/13" ,  "2007/12/16" ,  "Emerald Star"),
( "9JEZ7CTCKL" ,  18.84 ,  "2013/02/04" ,  "2013/02/07" ,  "Golden Palace"),
( "EIJ8SNEX6Z" ,  10.92 ,  "2019/10/28" ,  "2019/10/31" ,  "Diamond Edge"),
( "V915HOFR1R" ,  16.12 ,  "2005/03/20" ,  "2005/03/23" ,  "Lucky Star"),
( "SOSJ6JBLXO" ,  14.0 ,  "2018/03/20" ,  "2018/03/23" ,  "Crystal Cove"),
( "15CZ7IPVDU" ,  9.2 ,  "2002/07/26" ,  "2002/07/29" ,  "Ocean Jewel"),
( "PG47OGI51Z" ,  7.3 ,  "2007/04/06" ,  "2007/04/09" ,  "Dreamland Casino"),
( "S8KCEQ4549" ,  5.31 ,  "1990/07/15" ,  "1990/07/18" ,  "Ruby Ridge"),
( "7681HELY3S" ,  2.45 ,  "2017/08/08" ,  "2017/08/11" ,  "Azure Sands"),
( "JV2D1E0ZFB" ,  10.59 ,  "2018/05/25" ,  "2018/05/28" ,  "Fortune Plaza"),
( "JJCZAY633Y" ,  16.39 ,  "1998/11/28" ,  "1998/12/01" ,  "Moonlit Magic"),
( "3735C617HO" ,  17.29 ,  "2006/01/25" ,  "2006/01/28" ,  "Vegas Lights"),
( "E37WWRU9S2" ,  18.11 ,  "2022/03/27" ,  "2022/03/30" ,  "Crystal Cove"),
( "IWOS1LOD1A" ,  7.75 ,  "2021/03/26" ,  "2021/03/29" ,  "Wild West"),
( "VFU1YPEDJ9" ,  19.22 ,  "2004/03/23" ,  "2004/03/26" ,  "Skyline Gaming"),
( "ZLWDFI8ZZI" ,  16.03 ,  "1996/07/21" ,  "1996/07/24" ,  "Neon Dreams"),
( "HSVUNP9DFE" ,  1.26 ,  "2010/12/27" ,  "2010/12/30" ,  "Emerald Isle"),
( "0Z1ER5DY6S" ,  13.64 ,  "1992/02/06" ,  "1992/02/09" ,  "Mystic Oasis"),
( "L0S3JULZ18" ,  12.68 ,  "1999/11/18" ,  "1999/11/21" ,  "Desert Oasis"),
( "YUNPHOW3O7" ,  6.5 ,  "1992/12/23" ,  "1992/12/26" ,  "Fortune Plaza"),
( "9RRK7EEY6P" ,  18.28 ,  "2006/05/05" ,  "2006/05/08" ,  "Desert Oasis"),
( "77AHZ62MTJ" ,  7.73 ,  "2016/05/22" ,  "2016/05/25" ,  "Golden Palace"),
( "JSQHHK36UB" ,  13.99 ,  "2010/11/21" ,  "2010/11/24" ,  "Diamond Edge"),
( "120BUHRFJS" ,  14.37 ,  "2010/05/23" ,  "2010/05/26" ,  "Pearl Bay"),
( "35NMCRFPYX" ,  15.5 ,  "2021/06/08" ,  "2021/06/11" ,  "Sunset Plaza"),
( "6VVQ7VYPIL" ,  15.55 ,  "2019/09/20" ,  "2019/09/23" ,  "Sunset Strip"),
( "A8WT4C3MPR" ,  2.64 ,  "1991/01/01" ,  "1991/01/04" ,  "Mystic Oasis"),
( "9YDW4J84U3" ,  15.58 ,  "1994/08/23" ,  "1994/08/26" ,  "Mystic Mirage"),
( "O9O4BAZH89" ,  7.83 ,  "2007/05/13" ,  "2007/05/16" ,  "Red Lantern"),
( "3TGDWUOXFN" ,  6.93 ,  "2014/06/22" ,  "2014/06/25" ,  "Silver Sands"),
( "MJ21PDM34N" ,  12.91 ,  "2022/07/01" ,  "2022/07/04" ,  "Fortune Plaza"),
( "ADQNBXGGZU" ,  4.98 ,  "2001/11/01" ,  "2001/11/04" ,  "Royal Flush"),
( "QQ9VQZL0TY" ,  2.12 ,  "2013/07/11" ,  "2013/07/14" ,  "Crown Jewel"),
( "0VK6R8ARBH" ,  8.27 ,  "1992/04/11" ,  "1992/04/14" ,  "Ruby Ridge"),
( "BC7A4KHR0X" ,  1.8 ,  "2003/02/05" ,  "2003/02/08" ,  "Azure Sands"),
( "8169NA5RIL" ,  6.28 ,  "2011/09/27" ,  "2011/09/30" ,  "Crown Jewel"),
( "MVT3F6FG10" ,  15.96 ,  "2003/11/17" ,  "2003/11/20" ,  "Emerald Isle"),
( "Q7VRS04LNA" ,  18.71 ,  "2000/11/14" ,  "2000/11/17" ,  "Silver Sands"),
( "U4EK9ME9G6" ,  11.62 ,  "2014/07/27" ,  "2014/07/30" ,  "Royal Flush"),
( "S568ABORLD" ,  5.33 ,  "1994/04/04" ,  "1994/04/07" ,  "Sapphire Sky"),
( "VXFNMCUY8D" ,  14.4 ,  "2000/03/16" ,  "2000/03/19" ,  "Palm Grove"),
( "4EGFX09L98" ,  9.77 ,  "2018/05/05" ,  "2018/05/08" ,  "Azure Sands"),
( "5BH8FXXX4E" ,  7.77 ,  "2014/02/18" ,  "2014/02/21" ,  "Treasure Island"),
